date,feature_index,NO2
2022-01-14 00:00:00+00:00,0,
2022-01-15 00:00:00+00:00,0,
2022-01-16 00:00:00+00:00,0,
2022-01-17 00:00:00+00:00,0,
2022-01-18 00:00:00+00:00,0,
2022-01-19 00:00:00+00:00,0,
2022-01-20 00:00:00+00:00,0,
2022-01-21 00:00:00+00:00,0,5.8685320254880935e-05
2022-01-22 00:00:00+00:00,0,
2022-01-23 00:00:00+00:00,0,6.842168659204617e-05
2022-01-24 00:00:00+00:00,0,5.033374691265635e-05
2022-01-25 00:00:00+00:00,0,
2022-01-26 00:00:00+00:00,0,1.5064110812090805e-05
2022-01-27 00:00:00+00:00,0,
2022-01-28 00:00:00+00:00,0,
2022-01-29 00:00:00+00:00,0,
2022-01-30 00:00:00+00:00,0,2.2895659640198573e-05
2022-01-31 00:00:00+00:00,0,
2022-02-01 00:00:00+00:00,0,3.700405795825645e-05
2022-02-02 00:00:00+00:00,0,2.0494057025644e-05
2022-02-03 00:00:00+00:00,0,3.964550342061557e-05
2022-02-04 00:00:00+00:00,0,
2022-02-05 00:00:00+00:00,0,
2022-02-06 00:00:00+00:00,0,
2022-02-07 00:00:00+00:00,0,
2022-02-08 00:00:00+00:00,0,3.0930918001104146e-05
2022-02-09 00:00:00+00:00,0,
2022-02-10 00:00:00+00:00,0,
2022-02-11 00:00:00+00:00,0,
2022-02-12 00:00:00+00:00,0,
2022-02-13 00:00:00+00:00,0,2.3234248146764003e-05
2022-02-14 00:00:00+00:00,0,
2022-02-15 00:00:00+00:00,0,
2022-02-16 00:00:00+00:00,0,
2022-02-17 00:00:00+00:00,0,
2022-02-18 00:00:00+00:00,0,
2022-02-19 00:00:00+00:00,0,2.233748455182649e-05
2022-02-20 00:00:00+00:00,0,
2022-02-21 00:00:00+00:00,0,
2022-02-22 00:00:00+00:00,0,8.428328874288127e-05
2022-02-23 00:00:00+00:00,0,3.142086643492803e-05
2022-02-24 00:00:00+00:00,0,5.435782441054471e-05
2022-02-25 00:00:00+00:00,0,
2022-02-26 00:00:00+00:00,0,
2022-02-27 00:00:00+00:00,0,
2022-02-28 00:00:00+00:00,0,
2022-03-01 00:00:00+00:00,0,
2022-03-02 00:00:00+00:00,0,
2022-03-03 00:00:00+00:00,0,2.0944122880450777e-08
2022-03-04 00:00:00+00:00,0,
2022-03-05 00:00:00+00:00,0,9.463491733185948e-05
2022-03-06 00:00:00+00:00,0,
2022-03-07 00:00:00+00:00,0,
2022-03-08 00:00:00+00:00,0,
2022-03-09 00:00:00+00:00,0,1.4783871847612318e-05
2022-03-10 00:00:00+00:00,0,8.928486931836233e-05
2022-03-11 00:00:00+00:00,0,
2022-03-12 00:00:00+00:00,0,
2022-03-13 00:00:00+00:00,0,9.114717977354304e-05
2022-03-14 00:00:00+00:00,0,
2022-03-15 00:00:00+00:00,0,
2022-03-16 00:00:00+00:00,0,
2022-03-17 00:00:00+00:00,0,
2022-03-18 00:00:00+00:00,0,3.9109309000195935e-05
2022-03-19 00:00:00+00:00,0,6.0297945310594514e-05
2022-03-20 00:00:00+00:00,0,
2022-03-21 00:00:00+00:00,0,
2022-03-22 00:00:00+00:00,0,
2022-03-23 00:00:00+00:00,0,1.1332797839713749e-05
2022-03-24 00:00:00+00:00,0,3.054690023418516e-05
2022-03-25 00:00:00+00:00,0,6.127521919552237e-05
2022-03-26 00:00:00+00:00,0,
2022-03-27 00:00:00+00:00,0,2.479581962688826e-05
2022-03-28 00:00:00+00:00,0,4.336816709837876e-05
2022-03-29 00:00:00+00:00,0,3.8431771827163175e-05
2022-03-30 00:00:00+00:00,0,4.108529901714064e-05
2022-03-31 00:00:00+00:00,0,
2022-04-01 00:00:00+00:00,0,
2022-04-02 00:00:00+00:00,0,
2022-04-03 00:00:00+00:00,0,0.00012546448851935563
2022-04-04 00:00:00+00:00,0,4.183005148661323e-05
2022-04-05 00:00:00+00:00,0,
2022-04-06 00:00:00+00:00,0,5.043051714892499e-05
2022-04-07 00:00:00+00:00,0,3.090355676249601e-05
2022-04-08 00:00:00+00:00,0,
2022-04-09 00:00:00+00:00,0,
2022-04-10 00:00:00+00:00,0,3.344294600537978e-05
2022-04-11 00:00:00+00:00,0,1.996051105379593e-05
2022-04-12 00:00:00+00:00,0,
2022-04-13 00:00:00+00:00,0,
2022-04-14 00:00:00+00:00,0,2.660276004462503e-05
2022-04-15 00:00:00+00:00,0,
2022-04-16 00:00:00+00:00,0,
2022-04-17 00:00:00+00:00,0,
2022-04-18 00:00:00+00:00,0,
2022-04-19 00:00:00+00:00,0,
2022-04-20 00:00:00+00:00,0,
2022-04-21 00:00:00+00:00,0,
2022-04-22 00:00:00+00:00,0,6.559371286130045e-07
2022-04-23 00:00:00+00:00,0,
2022-04-24 00:00:00+00:00,0,
2022-04-25 00:00:00+00:00,0,2.1820698748342693e-05
2022-04-26 00:00:00+00:00,0,
2022-04-27 00:00:00+00:00,0,
2022-04-28 00:00:00+00:00,0,
2022-04-29 00:00:00+00:00,0,
2022-04-30 00:00:00+00:00,0,
2022-05-01 00:00:00+00:00,0,1.8447959519107823e-05
2022-05-02 00:00:00+00:00,0,2.431916436762549e-05
2022-05-03 00:00:00+00:00,0,
2022-05-04 00:00:00+00:00,0,
2022-05-05 00:00:00+00:00,0,
2022-05-06 00:00:00+00:00,0,5.987509666738333e-06
2022-05-07 00:00:00+00:00,0,8.641868589620572e-06
2022-05-08 00:00:00+00:00,0,
2022-05-09 00:00:00+00:00,0,
2022-05-10 00:00:00+00:00,0,
2022-05-11 00:00:00+00:00,0,
2022-05-12 00:00:00+00:00,0,0.00014911917969584465
2022-05-13 00:00:00+00:00,0,
2022-05-14 00:00:00+00:00,0,
2022-05-15 00:00:00+00:00,0,1.5967365470714867e-05
2022-05-16 00:00:00+00:00,0,
2022-05-17 00:00:00+00:00,0,1.9396591596887447e-05
2022-05-18 00:00:00+00:00,0,
2022-05-19 00:00:00+00:00,0,
2022-05-20 00:00:00+00:00,0,
2022-05-21 00:00:00+00:00,0,1.6285039237118326e-05
2022-05-22 00:00:00+00:00,0,6.161078999866732e-06
2022-05-23 00:00:00+00:00,0,1.4020935168446158e-06
2022-05-24 00:00:00+00:00,0,
2022-05-25 00:00:00+00:00,0,
2022-05-26 00:00:00+00:00,0,
2022-05-27 00:00:00+00:00,0,
2022-05-28 00:00:00+00:00,0,5.8727913710754365e-05
2022-05-29 00:00:00+00:00,0,3.988732350990176e-05
2022-05-30 00:00:00+00:00,0,3.587338869692758e-05
2022-05-31 00:00:00+00:00,0,2.5159008146147244e-05
2022-06-01 00:00:00+00:00,0,
2022-06-02 00:00:00+00:00,0,3.17641970468685e-05
2022-06-03 00:00:00+00:00,0,3.069977537961677e-05
2022-06-04 00:00:00+00:00,0,
2022-06-05 00:00:00+00:00,0,1.7938878954737447e-05
2022-06-06 00:00:00+00:00,0,
2022-06-07 00:00:00+00:00,0,1.4907725017110351e-05
2022-06-08 00:00:00+00:00,0,
2022-06-09 00:00:00+00:00,0,
2022-06-10 00:00:00+00:00,0,
2022-06-11 00:00:00+00:00,0,2.3131096895667724e-05
2022-06-12 00:00:00+00:00,0,1.6560959920752794e-05
2022-06-13 00:00:00+00:00,0,
2022-06-14 00:00:00+00:00,0,
2022-06-15 00:00:00+00:00,0,
2022-06-16 00:00:00+00:00,0,
2022-06-17 00:00:00+00:00,0,
2022-06-18 00:00:00+00:00,0,
2022-06-19 00:00:00+00:00,0,
2022-06-20 00:00:00+00:00,0,
2022-06-21 00:00:00+00:00,0,2.25278599828016e-05
2022-06-22 00:00:00+00:00,0,3.753407145268284e-05
2022-06-23 00:00:00+00:00,0,2.982317892019637e-05
2022-06-24 00:00:00+00:00,0,1.661780697759241e-05
2022-06-25 00:00:00+00:00,0,
2022-06-26 00:00:00+00:00,0,
2022-06-27 00:00:00+00:00,0,3.141910201520659e-05
2022-06-28 00:00:00+00:00,0,2.2077252651797608e-05
2022-06-29 00:00:00+00:00,0,7.90266931289807e-05
2022-06-30 00:00:00+00:00,0,1.4122036191110963e-05
2022-07-01 00:00:00+00:00,0,2.2834850824438035e-05
2022-07-02 00:00:00+00:00,0,2.207211400673259e-05
2022-07-03 00:00:00+00:00,0,1.1877600627485664e-05
2022-07-04 00:00:00+00:00,0,
2022-07-05 00:00:00+00:00,0,
2022-07-06 00:00:00+00:00,0,
2022-07-07 00:00:00+00:00,0,
2022-07-08 00:00:00+00:00,0,4.147769868723117e-05
2022-07-09 00:00:00+00:00,0,1.177602644020226e-05
2022-07-10 00:00:00+00:00,0,1.1385022844478954e-05
2022-07-11 00:00:00+00:00,0,1.3833475350111256e-05
2022-07-12 00:00:00+00:00,0,9.493812285654712e-06
2022-07-13 00:00:00+00:00,0,
2022-07-14 00:00:00+00:00,0,
2022-07-15 00:00:00+00:00,0,6.669009962934069e-06
2022-07-16 00:00:00+00:00,0,2.9413511583697986e-05
2022-07-17 00:00:00+00:00,0,
2022-07-18 00:00:00+00:00,0,2.645459971972741e-05
2022-07-19 00:00:00+00:00,0,2.3678308934904635e-05
2022-07-20 00:00:00+00:00,0,3.184101160513819e-06
2022-07-21 00:00:00+00:00,0,2.475029577908572e-05
2022-07-22 00:00:00+00:00,0,
2022-07-23 00:00:00+00:00,0,3.658198693301529e-05
2022-07-24 00:00:00+00:00,0,5.1336023716430645e-06
2022-07-25 00:00:00+00:00,0,3.294236012152396e-05
2022-07-26 00:00:00+00:00,0,2.8594171453733e-05
2022-07-27 00:00:00+00:00,0,2.9470977096934803e-05
2022-07-28 00:00:00+00:00,0,2.199949994974304e-05
2022-07-29 00:00:00+00:00,0,1.7952976122614928e-05
